,course,Credits,Instructor,Department,course_name,description,vec_str
6886,KOR 422,3,S Cheon,Korean (KOR),Media Analysis in Korean II ,"Focus on analyzing, comparing, and evaluating current media materials in South Korea and North Korea to develop professional language skills and to deepen knowledge and understanding of contemporary North Korea. A-F only. Pre: 402 or consent.","Media Analysis in Korean II  Focus on analyzing, comparing, and evaluating current media materials in South Korea and North Korea to develop professional language skills and to deepen knowledge and understanding of contemporary North Korea. A-F only. Pre: 402 or consent. Korean (KOR)"
6890,KOR 452,3,T B Miyashiro,Korean (KOR),Structure of Korean ,Introduction to syntax and semantics. Pre: 302 or consent.,Structure of Korean  Introduction to syntax and semantics. Pre: 302 or consent. Korean (KOR)
6894,KOR 470,3,M S Kim,Korean (KOR),Language and Culture of Korea ,"Relation of Korean language to literature, history, philosophy, social structure, values, and interpersonal relationships; social and regional varieties. Includes an emphasis on instruction in writing. Pre: 302 or consent.","Language and Culture of Korea  Relation of Korean language to literature, history, philosophy, social structure, values, and interpersonal relationships; social and regional varieties. Includes an emphasis on instruction in writing. Pre: 302 or consent. Korean (KOR)"
6898,KOR 486,3,S Cheon,Korean (KOR),Korean for Academic Purposes II ,"Focus on expanding students’ Korean literacy and cultural knowledge in various disciplines, including politics, economy, society, gender, science, visual arts, performing arts, food, sports, and hallyu. Taught entirely in Korean. Pre: 402 or consent.","Korean for Academic Purposes II  Focus on expanding students’ Korean literacy and cultural knowledge in various disciplines, including politics, economy, society, gender, science, visual arts, performing arts, food, sports, and hallyu. Taught entirely in Korean. Pre: 402 or consent. Korean (KOR)"
6902,KOR 621,3,H Chung,Korean (KOR),Media Research in Korean ,"Focuses on searching, analyzing, and evaluating media data for research in areas of student specializations. Students are required to write short analysis papers and a final research paper. Pre: diagnostic assessment (equivalent to ILR Level 2) or consent. (Once a year)","Media Research in Korean  Focuses on searching, analyzing, and evaluating media data for research in areas of student specializations. Students are required to write short analysis papers and a final research paper. Pre: diagnostic assessment (equivalent to ILR Level 2) or consent. (Once a year) Korean (KOR)"
6906,KOR 730,3,M Park,Korean (KOR),Research Seminar in Korean Language ,"Advanced study in history and dialects, phonology and morphology, syntax and semantics, sociolinguistics, or pedagogy, leading to a research paper. Repeatable four times. Pre: consent.","Research Seminar in Korean Language  Advanced study in history and dialects, phonology and morphology, syntax and semantics, sociolinguistics, or pedagogy, leading to a research paper. Repeatable four times. Pre: consent. Korean (KOR)"
6910,LLEA 247,3,K B Hammerich,Lang & Lit Europe & Americas (LLEA),"Gods, Heroes, and Dragons: Germanic Myth, Legends, and Fairy Tales ","Study of Germanic myth, legends, and fairy tales. Analysis of narratives from ancient times to the modern era from multiple theoretical perspectives.","Gods, Heroes, and Dragons: Germanic Myth, Legends, and Fairy Tales  Study of Germanic myth, legends, and fairy tales. Analysis of narratives from ancient times to the modern era from multiple theoretical perspectives. Lang & Lit Europe & Americas (LLEA)"
6911,LLEA 247,3,TBA,Lang & Lit Europe & Americas (LLEA),"Gods, Heroes, and Dragons: Germanic Myth, Legends, and Fairy Tales ","Study of Germanic myth, legends, and fairy tales. Analysis of narratives from ancient times to the modern era from multiple theoretical perspectives.","Gods, Heroes, and Dragons: Germanic Myth, Legends, and Fairy Tales  Study of Germanic myth, legends, and fairy tales. Analysis of narratives from ancient times to the modern era from multiple theoretical perspectives. Lang & Lit Europe & Americas (LLEA)"
6914,LLEA 342,3,C R Gerhardt,Lang & Lit Europe & Americas (LLEA),German Fascism and Propaganda ,"Lecture/discussion. Study of German Fascism and propaganda in German literature, art, and film. Sophomore standing or higher. A-F only.","German Fascism and Propaganda  Lecture/discussion. Study of German Fascism and propaganda in German literature, art, and film. Sophomore standing or higher. A-F only. Lang & Lit Europe & Americas (LLEA)"
6916,LLEA 371,3,N R Schweizer,Lang & Lit Europe & Americas (LLEA),Europeans in the Pacific ,"European presence in the Pacific, in relation to literature, art, culture, civilization. Not applicable to language requirement. (Section 1 taught in Hawaiian. Pre: HAW 202 or consent. Section 2 taught in English.)","Europeans in the Pacific  European presence in the Pacific, in relation to literature, art, culture, civilization. Not applicable to language requirement. (Section 1 taught in Hawaiian. Pre: HAW 202 or consent. Section 2 taught in English.) Lang & Lit Europe & Americas (LLEA)"
6922,LLEA 415,3,C R Gerhardt,Lang & Lit Europe & Americas (LLEA),Culture of Two Germanies: 1945-1989 ,"(taught in English) Literature, culture, and film of East and West Germany, 1945-1989. Credit cannot be earned for both LLEA 415 and GER 415. Sophomore standing or higher.","Culture of Two Germanies: 1945-1989  (taught in English) Literature, culture, and film of East and West Germany, 1945-1989. Credit cannot be earned for both LLEA 415 and GER 415. Sophomore standing or higher. Lang & Lit Europe & Americas (LLEA)"
6924,LATN 102,3,L N Hamasaki,Latin (LATN),Elementary Latin ,Continuation of 101. Pre: 101.,Elementary Latin  Continuation of 101. Pre: 101. Latin (LATN)
6926,LATN 102,3,L M Holmes,Latin (LATN),Elementary Latin ,Continuation of 101. Pre: 101.,Elementary Latin  Continuation of 101. Pre: 101. Latin (LATN)
6932,LATN 202,3,L N Hamasaki,Latin (LATN),Intermediate Latin ,Continuation of 201: emphasis on poetry. Pre: 201.,Intermediate Latin  Continuation of 201: emphasis on poetry. Pre: 201. Latin (LATN)
6936,LAIS 120,3,L C O'Rourke,Latin Amer & Iberian Studies (LAIS),Islands/Islas/Ilhas and Global Exchange ,"Cross-cultural study of global issues of navigation, commerce, and the environment, as expressed by the arts, traditions, and narratives from 1492 to the present. Connections with Europe, Africa, Americas, Asia,
Oceania.","Islands/Islas/Ilhas and Global Exchange  Cross-cultural study of global issues of navigation, commerce, and the environment, as expressed by the arts, traditions, and narratives from 1492 to the present. Connections with Europe, Africa, Americas, Asia,
Oceania. Latin Amer & Iberian Studies (LAIS)"
6940,LAIS 340,3,P Chandler,Latin Amer & Iberian Studies (LAIS),Chocolate Tales & Culinary Cultures: Latin America to Hawai‘i ,"Traces evolution of uses, meanings, and cultural representations of chocolate and other food native to Latin America. Emphasis on how narratives of food and food practices engage with national, ethnic, social, and gender identity constructions. Sophomore standing or higher, or
consent.","Chocolate Tales & Culinary Cultures: Latin America to Hawai‘i  Traces evolution of uses, meanings, and cultural representations of chocolate and other food native to Latin America. Emphasis on how narratives of food and food practices engage with national, ethnic, social, and gender identity constructions. Sophomore standing or higher, or
consent. Latin Amer & Iberian Studies (LAIS)"
6944,LAW 505,2,R Kawakami,Law (LAW),Lawyering Fundamentals II ,A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504.,Lawyering Fundamentals II  A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504. Law (LAW)
6946,LAW 505,2,D Raatz,Law (LAW),Lawyering Fundamentals II ,A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504.,Lawyering Fundamentals II  A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504. Law (LAW)
6948,LAW 505,2,A I Suarez,Law (LAW),Lawyering Fundamentals II ,A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504.,Lawyering Fundamentals II  A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504. Law (LAW)
6950,LAW 505,2,N M McLean,Law (LAW),Lawyering Fundamentals II ,A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504.,Lawyering Fundamentals II  A comprehensive program that teaches students the analytical and presentational skills necessary for excellent legal writing. Introduces skills and strategies for preparing written legal arguments and oral advocacy. Pre: 504. Law (LAW)
